     1.601      0.025      0.131      0.446     -0.020     -0.559     -0.220      0.013      0.000      0.900      0.087      3.000  303
    -2.503     -1.433     -1.133     -0.144     -0.886     -2.131     -0.027      0.001      0.000      0.001      0.998      4.000  864
    -0.797     -0.462     -0.058     -0.411     -0.273      0.688     -1.010      0.819      0.000      0.072      0.109      1.000  898
     0.519      1.041     -0.841     -0.360     -2.028      1.721      1.203      0.000      0.000      0.004      0.996      4.000  162
     0.631     -0.930      0.777     -0.735     -0.764     -2.280     -0.968      0.030      0.000      0.006      0.964      4.000 1204
    -0.546      0.784      0.037     -1.247      0.380      0.457      0.356      0.489      0.000      0.301      0.211      1.000  703
    -0.567     -0.315      0.772     -0.365      0.882     -0.423      0.059      0.523      0.000      0.240      0.238      1.000  657
    -2.343      0.285      0.319     -0.605     -0.309      1.299     -0.562      0.121      0.000      0.030      0.849      4.000  794
    -1.293      0.507      1.108      0.482     -1.177     -0.999      0.501      0.049      0.000      0.013      0.938      4.000  179
    -2.322     -0.145      1.412     -0.519     -0.534     -1.008     -1.378      0.172      0.000      0.002      0.826      4.000  624
    -0.496     -0.265     -0.205     -1.732      1.390     -0.660      0.629      0.014      0.000      0.310      0.676      4.000 1166
     0.128      0.438      0.387      0.433     -1.609     -0.084     -0.253      0.013      0.000      0.184      0.802      4.000 1342
     0.140      2.088      0.554      1.447      0.928     -0.801     -0.289      0.002      0.000      0.404      0.594      4.000 1135
    -0.828     -0.568      0.599      1.132      0.541     -0.610      1.940      0.004      0.000      0.034      0.963      4.000 1173
    -0.481      1.131      1.028     -0.134     -0.463     -0.123     -0.536      0.759      0.001      0.068      0.172      1.000  871
    -1.832     -2.146      1.000     -1.352     -0.816      1.977     -1.618      0.000      0.000      0.000      1.000      4.000  444
    -0.035     -0.349      0.710      1.131     -0.530     -0.183     -0.586      0.533      0.000      0.158      0.309      1.000 1497
    -1.134      0.078     -0.495     -0.293      1.564      0.466      1.617      0.000      0.000      0.183      0.817      4.000  209
     1.752      0.224     -0.486      0.062      0.184     -0.997      0.952      0.001      0.000      0.849      0.149      3.000  498
     1.745     -0.156     -0.793     -0.251      0.794     -0.104     -0.314      0.001      0.000      0.961      0.038      3.000 1727
    -0.660      0.622     -1.919     -0.789      0.598      0.744      0.595      0.294      0.000      0.238      0.468      4.000 1369
    -3.020      1.254     -1.084     -1.448     -1.517     -0.288     -1.871      0.000      0.000      0.001      0.999      4.000 1178
     0.882      1.394      0.512      1.273     -1.097      0.648      2.200      0.000      0.000      0.012      0.988      4.000 1757
    -1.224      0.488      1.494      0.223     -2.046     -1.432      2.216      0.000      0.000      0.000      1.000      4.000  939
    -1.539     -1.985      1.457      0.370     -1.689     -1.642     -0.388      0.000      0.000      0.000      1.000      4.000  673
    -0.928     -0.308      0.756      1.356     -1.425     -0.464      0.079      0.012      0.000      0.023      0.965      4.000  326
    -0.390      0.537      0.845     -2.046      1.161     -0.370      0.494      0.043      0.000      0.129      0.828      4.000  965
    -1.623     -0.589     -0.013     -1.109     -0.105     -0.409     -0.695      0.793      0.000      0.045      0.162      1.000 1741
     0.317     -0.307      0.508      1.544     -1.807     -1.197      2.024      0.000      0.000      0.001      0.999      4.000  219
    -0.264      0.365      2.177     -0.427     -0.442     -1.607     -0.637      0.654      0.000      0.001      0.345      1.000 1278
